# 
Voltage 1	Current 1	Voltmeter 1	Delay	
1.0	0.0	-0.000191771	0.1	04-12-23 12:17:57.808903
1.0	0.0	-0.0001856601	0.1	04-12-23 12:17:58.011649
1.0	0.0	-0.0001960566	0.1	04-12-23 12:17:58.231300
1.0	0.0	-0.0001821681	0.1	04-12-23 12:17:58.423603
1.0	0.0	-0.0001912948	0.1	04-12-23 12:17:58.730095
1.0	0.0	-0.0001837553	0.1	04-12-23 12:17:58.935176
1.0	0.0	-0.0001930409	0.1	04-12-23 12:17:59.241454
1.0	0.0	-0.0001922472	0.1	04-12-23 12:17:59.446837
1.0	0.0	-0.0001747873	0.1	04-12-23 12:17:59.652435
1.0	0.0	-0.0001940725	0.1	04-12-23 12:17:59.856698
1.0	0.0	-0.0001847077	0.1	04-12-23 12:18:00.061147
1.0	0.0	-0.0001740731	0.1	04-12-23 12:18:00.266614
1.0	0.0	-0.000187406	0.1	04-12-23 12:18:00.471503
1.0	0.0	-0.0001744699	0.1	04-12-23 12:18:00.676104
1.0	0.0	-0.0001632797	0.1	04-12-23 12:18:00.880777
1.0	0.0	-0.0001999454	0.1	04-12-23 12:18:01.085422
1.0	0.0	-0.0001873267	0.1	04-12-23 12:18:01.289486
1.0	0.0	-0.0001803428	0.1	04-12-23 12:18:01.495004
1.0	0.0	-0.0001706605	0.1	04-12-23 12:18:01.701383
1.0	0.0	-0.0001827236	0.1	04-12-23 12:18:02.006955
1.0	0.0	-0.0001737556	0.1	04-12-23 12:18:02.212286
1.0	0.0	-0.0001890727	0.1	04-12-23 12:18:02.416463
1.0	0.0	-0.000191771	0.1	04-12-23 12:18:02.621383
1.0	0.0	-0.0001822474	0.1	04-12-23 12:18:02.826079
1.0	0.0	-0.0001835173	0.1	04-12-23 12:18:03.031538
1.0	0.0	-0.0001927234	0.1	04-12-23 12:18:03.237150
1.0	0.0	-0.0001805015	0.1	04-12-23 12:18:03.441235
1.0	0.0	-0.0001855014	0.1	04-12-23 12:18:03.644455
1.0	0.0	-0.0002049453	0.1	04-12-23 12:18:03.851287
1.0	0.0	-0.0001925646	0.1	04-12-23 12:18:04.065915
1.0	0.0	-0.0001826443	0.1	04-12-23 12:18:04.260515
1.0	0.0	-0.0002057389	0.1	04-12-23 12:18:04.464720
1.0	0.0	-0.0001884378	0.1	04-12-23 12:18:04.771138
1.0	0.0	-0.0001756603	0.1	04-12-23 12:18:04.976656
