# 
ch1_10V	ch2_1V	time	Delay	a	
1621.6	1701.933	1718887749.7992072	0.2	0	20-06-24 14:49:09.799255
1619.933	1708.333	1718887750.038241	0.2	0	20-06-24 14:49:10.038262
1621.533	1703.533	1718887750.277199	0.2	0	20-06-24 14:49:10.277212
1620.2	1701.0	1718887750.5163248	0.2	0	20-06-24 14:49:10.516350
1630.133	1704.0	1718887750.7549589	0.2	0	20-06-24 14:49:10.754977
1619.2	1696.6	1718887750.9922953	0.2	0	20-06-24 14:49:10.992314
1617.133	1704.533	1718887751.230833	0.2	0	20-06-24 14:49:11.230856
1628.4	1697.4	1718887751.4696891	0.2	0	20-06-24 14:49:11.469713
1622.733	1696.267	1718887751.7085693	0.2	0	20-06-24 14:49:11.708587
1620.067	1701.133	1718887751.9483223	0.2	0	20-06-24 14:49:11.948351
1628.267	1696.8	1718887752.1879885	0.2	0	20-06-24 14:49:12.188008
1621.267	1699.4	1718887752.4264076	0.2	0	20-06-24 14:49:12.426421
1627.267	1694.067	1718887752.664849	0.2	0	20-06-24 14:49:12.664869
1613.8	1693.267	1718887752.9042494	0.2	0	20-06-24 14:49:12.904267
1623.0	1699.867	1718887753.143419	0.2	0	20-06-24 14:49:13.143442
1620.133	1693.0	1718887753.3820367	0.2	0	20-06-24 14:49:13.382055
1617.067	1693.533	1718887753.621515	0.2	0	20-06-24 14:49:13.621536
1615.867	1702.2	1718887753.8599114	0.2	0	20-06-24 14:49:13.859927
1625.067	1697.933	1718887754.0987844	0.2	0	20-06-24 14:49:14.098801
1623.133	1703.067	1718887754.3381894	0.2	0	20-06-24 14:49:14.338211
1614.533	1700.667	1718887754.5776002	0.2	0	20-06-24 14:49:14.577619
1628.867	1698.6	1718887754.816113	0.2	0	20-06-24 14:49:14.816134
1627.733	1695.6	1718887755.055485	0.2	0	20-06-24 14:49:15.055521
1622.733	1692.867	1718887755.2936068	0.2	0	20-06-24 14:49:15.293624
1625.067	1696.267	1718887755.5313337	0.2	0	20-06-24 14:49:15.531355
1617.067	1698.2	1718887755.7708921	0.2	0	20-06-24 14:49:15.770909
1623.267	1696.267	1718887756.0096755	0.2	0	20-06-24 14:49:16.009691
1622.733	1689.333	1718887756.2478135	0.2	0	20-06-24 14:49:16.247832
1620.0	1697.2	1718887756.4863255	0.2	0	20-06-24 14:49:16.486340
1622.533	1698.867	1718887756.7257218	0.2	0	20-06-24 14:49:16.725740
1625.6	1701.133	1718887756.9649618	0.2	0	20-06-24 14:49:16.964983
1618.0	1701.2	1718887757.203779	0.2	0	20-06-24 14:49:17.203796
1621.067	1693.133	1718887757.4423974	0.2	0	20-06-24 14:49:17.442415
1618.333	1700.6	1718887757.681599	0.2	0	20-06-24 14:49:17.681621
1621.133	1698.933	1718887757.9214287	0.2	0	20-06-24 14:49:17.921460
1624.933	1713.533	1718887758.1602283	0.2	0	20-06-24 14:49:18.160247
1630.4	1696.733	1718887758.4000716	0.2	0	20-06-24 14:49:18.400090
1621.333	1693.6	1718887758.63913	0.2	0	20-06-24 14:49:18.639163
1623.6	1697.0	1718887758.8788548	0.2	0	20-06-24 14:49:18.878872
1621.333	1698.733	1718887759.1173203	0.2	0	20-06-24 14:49:19.117341
1620.4	1699.0	1718887759.3568866	0.2	0	20-06-24 14:49:19.356928
1624.867	1703.267	1718887759.5960877	0.2	0	20-06-24 14:49:19.596106
1623.867	1707.8	1718887759.8346887	0.2	0	20-06-24 14:49:19.834709
1632.667	1698.933	1718887760.0728624	0.2	0	20-06-24 14:49:20.072898
1624.733	1701.267	1718887760.311643	0.2	0	20-06-24 14:49:20.311664
1624.533	1701.4	1718887760.5508072	0.2	0	20-06-24 14:49:20.550830
1628.067	1714.333	1718887760.7901127	0.2	0	20-06-24 14:49:20.790146
1624.4	1699.867	1718887761.0310585	0.2	0	20-06-24 14:49:21.031088
1620.933	1709.6	1718887761.2704914	0.2	0	20-06-24 14:49:21.270510
1619.4	1694.4	1718887761.5098693	0.2	0	20-06-24 14:49:21.509891
1623.933	1707.0	1718887761.7494082	0.2	0	20-06-24 14:49:21.749427
1617.267	1702.867	1718887761.988703	0.2	0	20-06-24 14:49:21.988739
1620.533	1702.733	1718887762.2275825	0.2	0	20-06-24 14:49:22.227600
1631.067	1813.4	1718887762.4669626	0.2	0	20-06-24 14:49:22.466981
1622.8	1706.467	1718887762.7064402	0.2	0	20-06-24 14:49:22.706475
1614.533	1702.333	1718887762.945556	0.2	0	20-06-24 14:49:22.945589
1627.667	1701.533	1718887763.1851535	0.2	0	20-06-24 14:49:23.185179
1622.4	1702.467	1718887763.425014	0.2	0	20-06-24 14:49:23.425033
1620.667	1704.8	1718887763.6643434	0.2	0	20-06-24 14:49:23.664362
1626.133	1705.133	1718887763.9036784	0.2	0	20-06-24 14:49:23.903705
1632.067	1705.933	1718887764.143317	0.2	0	20-06-24 14:49:24.143338
1622.067	1710.933	1718887764.3799253	0.2	0	20-06-24 14:49:24.379952
1618.0	1712.067	1718887764.618893	0.2	0	20-06-24 14:49:24.618912
1622.933	1709.067	1718887764.8580985	0.2	0	20-06-24 14:49:24.858120
1622.133	1706.733	1718887765.0980523	0.2	0	20-06-24 14:49:25.098072
1628.4	1705.533	1718887765.3375616	0.2	0	20-06-24 14:49:25.337584
1623.933	1707.667	1718887765.5770903	0.2	0	20-06-24 14:49:25.577110
1632.0	1707.267	1718887765.816567	0.2	0	20-06-24 14:49:25.816593
1625.133	1702.4	1718887766.0572567	0.2	0	20-06-24 14:49:26.057295
1625.8	1700.6	1718887766.2981856	0.2	0	20-06-24 14:49:26.298206
1618.933	1706.533	1718887766.5380046	0.2	0	20-06-24 14:49:26.538026
1620.533	1704.067	1718887766.7772887	0.2	0	20-06-24 14:49:26.777324
1629.0	1707.4	1718887767.017767	0.2	0	20-06-24 14:49:27.017786
1629.133	1709.333	1718887767.2579293	0.2	0	20-06-24 14:49:27.257973
1619.333	1704.467	1718887767.4975028	0.2	0	20-06-24 14:49:27.497524
1619.733	1702.8	1718887767.735271	0.2	0	20-06-24 14:49:27.735293
1623.267	1694.333	1718887767.975358	0.2	0	20-06-24 14:49:27.975375
1614.867	1701.733	1718887768.2150707	0.2	0	20-06-24 14:49:28.215089
1622.467	1708.867	1718887768.4549315	0.2	0	20-06-24 14:49:28.454974
1621.533	1702.133	1718887768.6954315	0.2	0	20-06-24 14:49:28.695477
1622.467	1696.533	1718887768.9351404	0.2	0	20-06-24 14:49:28.935162
1620.133	1705.4	1718887769.1736755	0.2	0	20-06-24 14:49:29.173717
1626.333	1708.2	1718887769.4143457	0.2	0	20-06-24 14:49:29.414370
1619.667	1703.267	1718887769.6537893	0.2	0	20-06-24 14:49:29.653804
1622.533	1703.067	1718887769.893693	0.2	0	20-06-24 14:49:29.893711
1620.0	1700.133	1718887770.1330655	0.2	0	20-06-24 14:49:30.133083
1617.067	1704.0	1718887770.3696136	0.2	0	20-06-24 14:49:30.369631
1626.4	1708.4	1718887770.6089025	0.2	0	20-06-24 14:49:30.608921
1623.2	1704.333	1718887770.848239	0.2	0	20-06-24 14:49:30.848258
