# 
ch1a_avglen	ch1_10V	ch2_1V	time	Delay	a	
250	1629.656	1661.908	1717767857.218085	0.25	6813.0	07-06-24 15:44:17.218114
250	1628.944	1661.744	1717767857.5086734	0.25	6814.0	07-06-24 15:44:17.508717
250	1629.4	1662.032	1717767857.797441	0.25	6815.0	07-06-24 15:44:17.797474
250	1627.792	1661.868	1717767858.0864978	0.25	6816.000000000001	07-06-24 15:44:18.086523
250	1627.668	1662.496	1717767858.3758852	0.25	6817.0	07-06-24 15:44:18.375933
250	1627.94	1660.356	1717767858.6656244	0.25	6818.0	07-06-24 15:44:18.665676
250	1628.156	1660.136	1717767858.9550986	0.25	6819.0	07-06-24 15:44:18.955119
250	1628.392	1659.284	1717767859.2446806	0.25	6820.0	07-06-24 15:44:19.244700
250	1628.068	1660.38	1717767859.534685	0.25	6821.000000000001	07-06-24 15:44:19.534711
250	1629.068	1661.012	1717767859.8248742	0.25	6822.0	07-06-24 15:44:19.824910
250	1629.764	1660.42	1717767860.114157	0.25	6823.0	07-06-24 15:44:20.114183
250	1630.68	1658.348	1717767860.4036646	0.25	6824.0	07-06-24 15:44:20.403691
250	1629.248	1658.888	1717767860.6912913	0.25	6825.0	07-06-24 15:44:20.691306
250	1628.46	1660.236	1717767860.9784043	0.25	6826.000000000001	07-06-24 15:44:20.978424
250	1627.444	1662.624	1717767861.2665462	0.25	6827.0	07-06-24 15:44:21.266582
250	1626.916	1661.08	1717767861.5545902	0.25	6828.0	07-06-24 15:44:21.554609
250	1628.132	1660.444	1717767861.8438945	0.25	6829.0	07-06-24 15:44:21.843914
250	1628.164	1659.22	1717767862.1324446	0.25	6830.0	07-06-24 15:44:22.132461
250	1627.94	1658.952	1717767862.4212418	0.25	6831.000000000001	07-06-24 15:44:22.421258
250	1627.816	1659.804	1717767862.708906	0.25	6832.0	07-06-24 15:44:22.708922
250	1627.54	1659.116	1717767862.9979646	0.25	6833.0	07-06-24 15:44:22.997988
250	1628.492	1658.508	1717767863.2868915	0.25	6834.0	07-06-24 15:44:23.286909
