# 
focus_V	pump_V	extractor_V	focus_I	pump_I	extractor_I	anode_I	time	Delay	
0	0	0	5.4105165e-10	5.50711419e-11	3.5646722100000003e-10	0.0652603309	1713169776.8270605	0.1	15-04-24 10:29:36.827143
0	0	0	4.029903e-10	1.99534253e-10	2.07161929e-10	0.065271938	1713169777.6051135	0.1	15-04-24 10:29:37.605199
0	0	0	4.3657279000000004e-10	2.30861445e-10	1.17578754e-10	0.0652761553	1713169778.3826861	0.1	15-04-24 10:29:38.382737
0	0	0	4.25378627e-10	2.98080801e-10	4.27387234e-10	0.0652752223	1713169779.1615958	0.1	15-04-24 10:29:39.161674
0	0	0	4.55229729e-10	7.646326530000001e-11	2.2582508999999998e-10	0.0652816416	1713169779.9417942	0.1	15-04-24 10:29:39.941846
0	0	0	4.4776695400000003e-10	5.28604211e-10	3.52734588e-10	0.0652808206	1713169780.7222807	0.1	15-04-24 10:29:40.722332
0	0	0	6.56724672e-10	9.89293006e-10	7.74522038e-10	0.0652823881	1713169780.40935	0.1	15-04-24 10:29:40.409379
0	0	0	7.61203532e-10	1.70704382e-09	5.35633571e-10	0.065287016	1713169781.1853387	0.1	15-04-24 10:29:41.185373
0	0	0	5.26126098e-10	1.81991163e-10	9.33241708e-12	0.0652909348	1713169781.9638796	0.1	15-04-24 10:29:41.963931
0	0	0	5.48514425e-10	2.95664358e-10	1.51172444e-10	0.0652946669	1713169782.7408435	0.1	15-04-24 10:29:42.740889
0	0	0	6.343363450000001e-10	5.16789646e-10	2.1835982600000002e-10	0.0652981752	1713169783.521735	0.1	15-04-24 10:29:43.521783
0	0	0	6.97769939e-10	6.881494379999999e-10	4.3485249900000003e-10	0.0652986977	1713169784.3009691	0.1	15-04-24 10:29:44.301019
0	0	0	8.05980186e-10	7.6986868e-10	3.9006091099999996e-10	0.0653037735	1713169785.0769408	0.1	15-04-24 10:29:45.076993
0	0	0	8.02248798e-10	1.5901938200000001e-09	3.49001956e-10	0.0653074683	1713169785.8522372	0.1	15-04-24 10:29:45.852288
0	0	0	7.686663079999999e-10	1.9042268600000002e-09	6.90545338e-11	0.0653141863	1713169786.636262	0.1	15-04-24 10:29:46.636313
0	0	0	1.59703441e-09	-2.58871801e-10	2.07161929e-10	0.065319262	1713169787.415477	0.1	15-04-24 10:29:47.415527
0	0	0	-3.35824492e-10	5.008128870000001e-10	4.29261078e-11	0.0653218372	1713169788.1924248	0.1	15-04-24 10:29:48.192477
0	0	0	4.4403556600000004e-10	2.2116809799999998e-09	3.3033879500000003e-10	0.0653248603	1713169788.9683409	0.1	15-04-24 10:29:48.968391
0	0	0	1.8171862899999998e-09	2.25647889e-09	2.22092458e-10	0.0653600548	1713169789.7453334	0.1	15-04-24 10:29:49.745433
